Timestamp,Temperature,Humidity,Pressure
2025-01-01 00:00:00,23.5,65.2,1013.2
2025-01-01 01:00:00,23.1,65.8,1013.5
2025-01-01 02:00:00,22.8,66.1,1013.8
2025-01-01 03:00:00,22.5,66.5,1014.0
2025-01-01 04:00:00,22.2,67.0,1014.2
2025-01-01 05:00:00,22.0,67.3,1014.5
2025-01-01 06:00:00,21.8,67.8,1014.8
2025-01-01 07:00:00,22.1,68.0,1015.0
2025-01-01 08:00:00,22.5,68.2,1015.2
2025-01-01 09:00:00,23.0,68.5,1015.5
2025-01-01 10:00:00,23.8,67.2,1015.2
2025-01-01 11:00:00,24.2,66.5,1014.8
2025-01-01 12:00:00,24.8,65.0,1014.2
2025-01-01 13:00:00,25.2,64.2,1013.8
2025-01-01 14:00:00,25.5,63.5,1013.5
2025-01-01 15:00:00,25.0,64.0,1013.8
2025-01-01 16:00:00,24.2,65.2,1014.0
2025-01-01 17:00:00,23.5,66.0,1014.2
2025-01-01 18:00:00,22.8,66.8,1014.5
2025-01-01 19:00:00,22.2,67.2,1014.8
2025-01-01 20:00:00,21.8,67.8,1015.0
2025-01-01 21:00:00,21.5,68.0,1015.2
2025-01-01 22:00:00,21.2,68.2,1015.2
2025-01-01 23:00:00,21.0,68.5,1015.5
